participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.paid_period,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,h8m28kat,,0,61,61,endpage,EarningsPage,2021-06-28 13:05:17.957900+00:00,1,,,5.00,3,21,0.00,1,1,rfkt73rj,20210628_1400,,,,0
4,5sc4ncpy,,0,61,61,endpage,EarningsPage,2021-06-28 13:06:07.727107+00:00,1,,,27.00,4,14,0.00,1,1,rfkt73rj,20210628_1400,,,,0
5,xio1kk58,,0,61,61,endpage,EarningsPage,2021-06-28 12:59:16.056772+00:00,1,,,26.00,5,10,0.00,1,1,rfkt73rj,20210628_1400,,,,0
6,twsriyk7,,0,61,61,endpage,EarningsPage,2021-06-28 12:59:52.071357+00:00,1,,,17.00,6,9,0.00,1,1,rfkt73rj,20210628_1400,,,,0
7,nnri11b7,,0,61,61,endpage,EarningsPage,2021-06-28 13:00:59.675347+00:00,1,,,7.00,7,10,0.00,1,1,rfkt73rj,20210628_1400,,,,0
8,yjzfuu2h,,0,61,61,endpage,EarningsPage,2021-06-28 13:02:34.258306+00:00,1,,,26.00,8,17,0.00,1,1,rfkt73rj,20210628_1400,,,,0
9,3n62rgd0,,0,61,61,endpage,EarningsPage,2021-06-28 13:04:29.864770+00:00,1,,,17.00,9,23,0.00,1,1,rfkt73rj,20210628_1400,,,,0
10,9f99a2hb,,0,61,61,endpage,EarningsPage,2021-06-28 13:08:52.744751+00:00,1,,,6.00,10,20,0.00,1,1,rfkt73rj,20210628_1400,,,,0
1,zu809ozq,,0,61,61,endpage,EarningsPage,2021-06-28 14:54:50.366891+00:00,1,,,26.00,1,16,0.00,1,1,de2jd5zj,20210628_1600,,,,0
2,ji7tr1ce,,0,61,61,endpage,EarningsPage,2021-06-28 15:07:26.376001+00:00,1,,,15.00,2,15,0.00,1,1,de2jd5zj,20210628_1600,,,,0
3,mcywebaj,,0,61,61,endpage,EarningsPage,2021-06-28 15:00:34.763917+00:00,1,,,7.00,3,22,0.00,1,1,de2jd5zj,20210628_1600,,,,0
4,mffpnq55,,0,61,61,endpage,EarningsPage,2021-06-28 15:01:56.510126+00:00,1,,,7.00,4,19,0.00,1,1,de2jd5zj,20210628_1600,,,,0
5,qhbw7gan,,0,61,61,endpage,EarningsPage,2021-06-28 15:03:19.254787+00:00,1,,,17.00,5,24,0.00,1,1,de2jd5zj,20210628_1600,,,,0
6,gw7ncvdt,,0,61,61,endpage,EarningsPage,2021-06-28 15:04:26.733409+00:00,1,,,15.00,6,10,0.00,1,1,de2jd5zj,20210628_1600,,,,0
7,djzpq5f3,,0,61,61,endpage,EarningsPage,2021-06-28 15:05:31.574951+00:00,1,,,25.00,7,12,0.00,1,1,de2jd5zj,20210628_1600,,,,0
8,4z9x2cb4,,0,16,61,decisions,DecisionPage,2021-06-28 15:11:22.082507+00:00,1,,,0.00,8,,0.00,1,1,de2jd5zj,20210628_1600,,,,0
9,hcpcb86j,,0,16,61,decisions,DecisionPage,2021-06-28 15:11:22.195033+00:00,1,,,0.00,9,,0.00,1,1,de2jd5zj,20210628_1600,,,,0
10,xeroo3xg,,0,16,61,decisions,DecisionPage,2021-06-28 15:11:22.278564+00:00,1,,,0.00,10,,0.00,1,1,de2jd5zj,20210628_1600,,,,0
1,8hdqutwb,,0,61,61,endpage,EarningsPage,2021-06-30 09:05:40.345258+00:00,1,,,26.00,1,16,0.00,1,1,5sgm29h0,20210630_1000,,,,0
2,3zofwepw,,0,61,61,endpage,EarningsPage,2021-06-30 08:52:24.250518+00:00,1,,,24.00,2,9,0.00,1,1,5sgm29h0,20210630_1000,,,,0
3,72xz8gcz,,0,61,61,endpage,EarningsPage,2021-06-30 08:54:13.124867+00:00,1,,,27.00,3,20,0.00,1,1,5sgm29h0,20210630_1000,,,,0
4,rzzn1i8f,,0,61,61,endpage,EarningsPage,2021-06-30 08:59:30.009805+00:00,1,,,7.00,4,20,0.00,1,1,5sgm29h0,20210630_1000,,,,0
5,00g32yc1,,0,61,61,endpage,EarningsPage,2021-06-30 09:00:30.880574+00:00,1,,,27.00,5,4,0.00,1,1,5sgm29h0,20210630_1000,,,,0
6,6u6fnn44,,0,61,61,endpage,EarningsPage,2021-06-30 09:02:08.895326+00:00,1,,,15.00,6,22,0.00,1,1,5sgm29h0,20210630_1000,,,,0
7,qnd60n7v,,0,61,61,endpage,EarningsPage,2021-06-30 09:02:43.245106+00:00,1,,,26.00,7,11,0.00,1,1,5sgm29h0,20210630_1000,,,,0
8,n0cakvnn,,0,61,61,endpage,EarningsPage,2021-06-30 09:04:06.917059+00:00,1,,,7.00,8,3,0.00,1,1,5sgm29h0,20210630_1000,,,,0
9,eay5gfc3,,0,61,61,endpage,EarningsPage,2021-06-30 09:04:36.049303+00:00,1,,,7.00,9,19,0.00,1,1,5sgm29h0,20210630_1000,,,,0
10,wtxzvb4e,,0,61,61,endpage,EarningsPage,2021-06-30 09:07:55.692874+00:00,1,,,27.00,10,1,0.00,1,1,5sgm29h0,20210630_1000,,,,0
11,ua20fd02,,0,61,61,endpage,EarningsPage,2021-06-30 09:09:14.122019+00:00,1,,,6.00,11,7,0.00,1,1,5sgm29h0,20210630_1000,,,,0
12,fqh1ix42,,0,61,61,endpage,EarningsPage,2021-06-30 09:11:07.868164+00:00,1,,,17.00,12,7,0.00,1,1,5sgm29h0,20210630_1000,,,,0
1,j7dkgory,,0,61,61,endpage,EarningsPage,2021-06-30 10:20:25.043826+00:00,1,,,17.00,1,8,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
2,i5jvwq5q,,0,61,61,endpage,EarningsPage,2021-06-30 10:23:10.575239+00:00,1,,,15.00,2,25,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
3,5r9gjqy4,,0,61,61,endpage,EarningsPage,2021-06-30 10:34:57.290095+00:00,1,,,17.00,3,7,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
4,e7ap89iz,,0,61,61,endpage,EarningsPage,2021-06-30 10:28:47.942274+00:00,1,,,7.00,4,8,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
5,7femyonk,,0,61,61,endpage,EarningsPage,2021-06-30 10:37:44.873358+00:00,1,,,7.00,5,12,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
6,co1khwiy,,0,61,61,endpage,EarningsPage,2021-06-30 10:31:58.123682+00:00,1,,,17.00,6,11,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
7,su7mxpj7,,0,61,61,endpage,EarningsPage,2021-06-30 10:32:54.914819+00:00,1,,,17.00,7,25,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
8,c2l5cqli,,0,16,61,decisions,DecisionPage,2021-06-30 10:41:03.878193+00:00,1,,,0.00,8,,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
9,l260m79e,,0,16,61,decisions,DecisionPage,2021-06-30 10:41:03.946864+00:00,1,,,0.00,9,,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
10,ab8bqo4j,,0,16,61,decisions,DecisionPage,2021-06-30 10:41:04.008791+00:00,1,,,0.00,10,,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
11,zokdk9jd,,0,16,61,decisions,DecisionPage,2021-06-30 10:41:04.084065+00:00,1,,,0.00,11,,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
12,fw9rnvd1,,0,16,61,decisions,DecisionPage,2021-06-30 10:41:04.152461+00:00,1,,,0.00,12,,0.00,1,1,2i4yqpqz,20210630_1130,,,,0
1,adz16f2y,,0,61,61,endpage,EarningsPage,2021-06-30 11:48:32.473085+00:00,1,,,16.00,1,19,0.00,1,1,ae5sejdy,20210630_1300,,,,0
2,haf3qpec,,0,61,61,endpage,EarningsPage,2021-06-30 11:53:04.906832+00:00,1,,,6.00,2,8,0.00,1,1,ae5sejdy,20210630_1300,,,,0
3,tg70dmp8,,0,61,61,endpage,EarningsPage,2021-06-30 12:00:59.469059+00:00,1,,,17.00,3,22,0.00,1,1,ae5sejdy,20210630_1300,,,,0
4,3d9mvdzz,,0,61,61,endpage,EarningsPage,2021-06-30 12:03:07.111496+00:00,1,,,27.00,4,15,0.00,1,1,ae5sejdy,20210630_1300,,,,0
5,ot5na0b9,,0,61,61,endpage,EarningsPage,2021-06-30 12:04:55.993059+00:00,1,,,25.00,5,7,0.00,1,1,ae5sejdy,20210630_1300,,,,0
6,zxg75c8y,,0,61,61,endpage,EarningsPage,2021-06-30 12:09:12.316382+00:00,1,,,17.00,6,20,0.00,1,1,ae5sejdy,20210630_1300,,,,0
7,xieg68g9,,0,61,61,endpage,EarningsPage,2021-06-30 12:11:09.932645+00:00,1,,,16.00,7,10,0.00,1,1,ae5sejdy,20210630_1300,,,,0
8,n903nmww,,0,16,61,decisions,DecisionPage,2021-06-30 12:12:53.361895+00:00,1,,,0.00,8,,0.00,1,1,ae5sejdy,20210630_1300,,,,0
9,5feizki8,,0,16,61,decisions,DecisionPage,2021-06-30 12:12:53.435694+00:00,1,,,0.00,9,,0.00,1,1,ae5sejdy,20210630_1300,,,,0
10,8jgeno6t,,0,16,61,decisions,DecisionPage,2021-06-30 12:12:53.500510+00:00,1,,,0.00,10,,0.00,1,1,ae5sejdy,20210630_1300,,,,0
11,5h8bb9oy,,0,16,61,decisions,DecisionPage,2021-06-30 12:12:53.560209+00:00,1,,,0.00,11,,0.00,1,1,ae5sejdy,20210630_1300,,,,0
12,r06omm8h,,0,16,61,decisions,DecisionPage,2021-06-30 12:12:53.631351+00:00,1,,,0.00,12,,0.00,1,1,ae5sejdy,20210630_1300,,,,0
1,b0370bjl,,0,61,61,endpage,EarningsPage,2021-06-30 13:20:20.859543+00:00,1,,,27.00,1,17,0.00,1,1,7xyft6s3,20210630_1430,,,,0
2,sjgtn9qk,,0,61,61,endpage,EarningsPage,2021-06-30 13:23:48.225523+00:00,1,,,17.00,2,13,0.00,1,1,7xyft6s3,20210630_1430,,,,0
3,fxky1ye6,,0,61,61,endpage,EarningsPage,2021-06-30 13:26:32.403315+00:00,1,,,5.00,3,16,0.00,1,1,7xyft6s3,20210630_1430,,,,0
4,hokl19im,,0,61,61,endpage,EarningsPage,2021-06-30 13:30:17.350631+00:00,1,,,24.00,4,19,0.00,1,1,7xyft6s3,20210630_1430,,,,0
5,aqcsvorl,,0,61,61,endpage,EarningsPage,2021-06-30 13:31:36.747256+00:00,1,,,24.00,5,23,0.00,1,1,7xyft6s3,20210630_1430,,,,0
6,zi6i2c9u,,0,61,61,endpage,EarningsPage,2021-06-30 13:32:32.070890+00:00,1,,,7.00,6,14,0.00,1,1,7xyft6s3,20210630_1430,,,,0
7,x56fzcq4,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.130447+00:00,1,,,0.00,7,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
8,yttxa9vp,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.204483+00:00,1,,,0.00,8,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
9,5cjntfn7,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.268921+00:00,1,,,0.00,9,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
10,t9np93xt,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.350261+00:00,1,,,0.00,10,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
11,dkpp6i7q,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.418380+00:00,1,,,0.00,11,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
12,dz8nsivk,,0,16,61,decisions,DecisionPage,2021-06-30 13:41:39.485389+00:00,1,,,0.00,12,,0.00,1,1,7xyft6s3,20210630_1430,,,,0
1,n594ys0i,,0,61,61,endpage,EarningsPage,2021-07-01 08:53:25.320000+00:00,1,,,6.00,1,22,0.00,1,1,42rnw7sc,20210701_1000,,,,0
2,hby5m5ik,,0,61,61,endpage,EarningsPage,2021-07-01 08:55:42.249464+00:00,1,,,3.00,2,4,0.00,1,1,42rnw7sc,20210701_1000,,,,0
3,45o6pk7j,,0,61,61,endpage,EarningsPage,2021-07-01 09:01:28.006537+00:00,1,,,17.00,3,15,0.00,1,1,42rnw7sc,20210701_1000,,,,0
4,wu86use2,,0,61,61,endpage,EarningsPage,2021-07-01 09:03:25.983236+00:00,1,,,17.00,4,13,0.00,1,1,42rnw7sc,20210701_1000,,,,0
5,mv01y1yd,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:36.962730+00:00,1,,,0.00,5,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
6,rkhj04v1,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.109992+00:00,1,,,0.00,6,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
7,qv9kuf6n,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.188158+00:00,1,,,0.00,7,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
8,9rbbmqkp,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.256456+00:00,1,,,0.00,8,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
9,vthus49a,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.326399+00:00,1,,,0.00,9,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
10,g5af90n4,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.406844+00:00,1,,,0.00,10,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
11,65s3ounx,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.499426+00:00,1,,,0.00,11,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
12,jid125ay,,0,16,61,decisions,DecisionPage,2021-07-01 09:09:37.584694+00:00,1,,,0.00,12,,0.00,1,1,42rnw7sc,20210701_1000,,,,0
1,gg29ns20,,0,61,61,endpage,EarningsPage,2021-07-01 10:30:38.820519+00:00,1,,,25.00,1,23,0.00,1,1,rmae59mj,20210701_1130,,,,0
2,2mlym5h3,,0,61,61,endpage,EarningsPage,2021-07-01 10:41:04.978812+00:00,1,,,16.00,2,4,0.00,1,1,rmae59mj,20210701_1130,,,,0
3,a0g4ni40,,0,61,61,endpage,EarningsPage,2021-07-01 10:43:18.675868+00:00,1,,,17.00,3,22,0.00,1,1,rmae59mj,20210701_1130,,,,0
4,tpa9df6u,,0,61,61,endpage,EarningsPage,2021-07-01 10:44:21.291790+00:00,1,,,15.00,4,12,0.00,1,1,rmae59mj,20210701_1130,,,,0
5,d8swqk2s,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.014392+00:00,1,,,0.00,5,,0.00,1,1,rmae59mj,20210701_1130,,,,0
6,q62vsy8k,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.194308+00:00,1,,,0.00,6,,0.00,1,1,rmae59mj,20210701_1130,,,,0
7,gtm3ieyo,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.324965+00:00,1,,,0.00,7,,0.00,1,1,rmae59mj,20210701_1130,,,,0
8,18r8oum7,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.471109+00:00,1,,,0.00,8,,0.00,1,1,rmae59mj,20210701_1130,,,,0
9,7lqv6w3w,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.589026+00:00,1,,,0.00,9,,0.00,1,1,rmae59mj,20210701_1130,,,,0
10,3ybn1mc7,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.679781+00:00,1,,,0.00,10,,0.00,1,1,rmae59mj,20210701_1130,,,,0
11,dg7yyxxh,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.834012+00:00,1,,,0.00,11,,0.00,1,1,rmae59mj,20210701_1130,,,,0
12,9xy95izj,,0,16,61,decisions,DecisionPage,2021-07-01 10:48:19.924206+00:00,1,,,0.00,12,,0.00,1,1,rmae59mj,20210701_1130,,,,0
1,uel5pire,,0,61,61,endpage,EarningsPage,2021-07-02 12:11:51.974504+00:00,1,,,7.00,1,21,0.00,1,1,z4srslpi,20210702_1300,,,,0
2,aiy9pkbx,,0,61,61,endpage,EarningsPage,2021-07-02 11:51:23.319898+00:00,1,,,26.00,2,22,0.00,1,1,z4srslpi,20210702_1300,,,,0
3,td1cwjdp,,0,61,61,endpage,EarningsPage,2021-07-02 11:55:03.231243+00:00,1,,,7.00,3,20,0.00,1,1,z4srslpi,20210702_1300,,,,0
4,xt7meys4,,0,61,61,endpage,EarningsPage,2021-07-02 11:57:05.446900+00:00,1,,,6.00,4,19,0.00,1,1,z4srslpi,20210702_1300,,,,0
5,d3v22y45,,0,61,61,endpage,EarningsPage,2021-07-02 12:11:34.283555+00:00,1,,,17.00,5,24,0.00,1,1,z4srslpi,20210702_1300,,,,0
6,0uviu3c8,,0,61,61,endpage,EarningsPage,2021-07-02 12:00:12.208434+00:00,1,,,17.00,6,11,0.00,1,1,z4srslpi,20210702_1300,,,,0
7,2nb9zfb7,,0,61,61,endpage,EarningsPage,2021-07-02 12:01:36.158027+00:00,1,,,17.00,7,22,0.00,1,1,z4srslpi,20210702_1300,,,,0
8,q0ffsac5,,0,61,61,endpage,EarningsPage,2021-07-02 12:02:23.600421+00:00,1,,,27.00,8,25,0.00,1,1,z4srslpi,20210702_1300,,,,0
9,9a30ip35,,0,61,61,endpage,EarningsPage,2021-07-02 12:03:33.759151+00:00,1,,,7.00,9,9,0.00,1,1,z4srslpi,20210702_1300,,,,0
10,6vlteoij,,0,61,61,endpage,EarningsPage,2021-07-02 12:06:23.639998+00:00,1,,,27.00,10,16,0.00,1,1,z4srslpi,20210702_1300,,,,0
11,lfrzjoj3,,0,61,61,endpage,EarningsPage,2021-07-02 12:07:16.675263+00:00,1,,,7.00,11,1,0.00,1,1,z4srslpi,20210702_1300,,,,0
12,21otsptc,,0,61,61,endpage,EarningsPage,2021-07-02 12:08:28.163032+00:00,1,,,23.00,12,13,0.00,1,1,z4srslpi,20210702_1300,,,,0
1,w884g810,,0,61,61,endpage,EarningsPage,2021-07-02 13:21:11.608528+00:00,1,,,27.00,1,14,0.00,1,1,r7c0b51g,20210702_1430,,,,0
2,zmaoyq1i,,0,61,61,endpage,EarningsPage,2021-07-02 13:23:26.145989+00:00,1,,,16.00,2,7,0.00,1,1,r7c0b51g,20210702_1430,,,,0
3,8t5zwjgh,,0,61,61,endpage,EarningsPage,2021-07-02 13:27:21.984275+00:00,1,,,4.00,3,16,0.00,1,1,r7c0b51g,20210702_1430,,,,0
4,ocezwog3,,0,61,61,endpage,EarningsPage,2021-07-02 13:28:05.595686+00:00,1,,,7.00,4,5,0.00,1,1,r7c0b51g,20210702_1430,,,,0
5,gad5ovep,,0,61,61,endpage,EarningsPage,2021-07-02 13:29:46.753058+00:00,1,,,17.00,5,15,0.00,1,1,r7c0b51g,20210702_1430,,,,0
6,kbtjqe2e,,0,61,61,endpage,EarningsPage,2021-07-02 13:30:57.077330+00:00,1,,,26.00,6,4,0.00,1,1,r7c0b51g,20210702_1430,,,,0
7,gq9fzq9w,,0,61,61,endpage,EarningsPage,2021-07-02 13:32:26.278223+00:00,1,,,6.00,7,25,0.00,1,1,r7c0b51g,20210702_1430,,,,0
8,ot30actm,,0,61,61,endpage,EarningsPage,2021-07-02 13:34:43.479166+00:00,1,,,16.00,8,2,0.00,1,1,r7c0b51g,20210702_1430,,,,0
9,6kwe5o6c,,0,61,61,endpage,EarningsPage,2021-07-02 13:40:11.372928+00:00,1,,,6.00,9,3,0.00,1,1,r7c0b51g,20210702_1430,,,,0
10,atma1qcx,,0,61,61,endpage,EarningsPage,2021-07-02 13:41:45.744189+00:00,1,,,16.00,10,7,0.00,1,1,r7c0b51g,20210702_1430,,,,0
11,xo4tfntx,,0,16,61,decisions,DecisionPage,2021-07-02 13:44:17.646722+00:00,1,,,0.00,11,,0.00,1,1,r7c0b51g,20210702_1430,,,,0
12,8zszobfp,,0,16,61,decisions,DecisionPage,2021-07-02 13:44:17.725862+00:00,1,,,0.00,12,,0.00,1,1,r7c0b51g,20210702_1430,,,,0
1,9bcof7wo,,0,61,61,endpage,EarningsPage,2021-07-13 11:51:22.936272+00:00,1,,,26.00,1,21,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
2,o11c7at5,,0,61,61,endpage,EarningsPage,2021-07-13 11:52:31.976045+00:00,1,,,15.00,2,14,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
3,ckkobwom,,0,61,61,endpage,EarningsPage,2021-07-13 11:55:48.870229+00:00,1,,,27.00,3,9,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
4,mbc73hwl,,0,61,61,endpage,EarningsPage,2021-07-13 11:58:08.671432+00:00,1,,,5.00,4,1,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
5,e2fn9vw9,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.068411+00:00,1,,,0.00,5,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
6,73a8vrr5,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.205535+00:00,1,,,0.00,6,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
7,yyfy9chj,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.323990+00:00,1,,,0.00,7,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
8,ywdiqzcy,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.396452+00:00,1,,,0.00,8,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
9,ffqy66i4,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.521223+00:00,1,,,0.00,9,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
10,j76jmnrp,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.584133+00:00,1,,,0.00,10,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
11,g5jdv4mx,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.647066+00:00,1,,,0.00,11,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
12,ivx39y80,,0,16,61,decisions,DecisionPage,2021-07-13 12:01:35.727561+00:00,1,,,0.00,12,,0.00,1,1,2c3ue4nl,20210713_1300,,,,0
1,p6guj6oc,,0,61,61,endpage,EarningsPage,2021-07-13 13:31:01.146310+00:00,1,,,7.00,1,18,0.00,1,1,cvmst39e,20210713_1430,,,,0
