participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.menu_number,player.displayed_first,player.lotterychoice,player.roll,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,13,q,0,96,0.00,1,5,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,5,p,1,88,0.00,1,5,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,15,q,0,15,0.00,1,5,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,5,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,12,q,0,15,0.00,1,6,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,6,p,1,15,0.00,1,6,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,21,q,1,55,0.00,1,6,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,21,q,0,93,0.00,1,6,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,6,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,3,p,1,62,0.00,1,7,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,14,p,1,86,0.00,1,7,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,9,p,0,59,0.00,1,7,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,24,p,1,79,0.00,1,7,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,7,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,15,p,1,33,0.00,1,8,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,12,q,0,77,0.00,1,8,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,16,p,0,96,0.00,1,8,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,20,q,1,46,0.00,1,8,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,8,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,6,q,0,46,0.00,1,9,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,21,p,1,51,0.00,1,9,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,24,p,0,23,0.00,1,9,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,13,p,0,84,0.00,1,9,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,9,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,24,p,0,18,0.00,1,10,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,24,q,1,35,0.00,1,10,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,3,p,1,62,0.00,1,10,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,1,q,0,35,0.00,1,10,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,10,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,19,q,1,57,0.00,1,11,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,10,p,1,28,0.00,1,11,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,12,p,1,71,0.00,1,11,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,23,p,0,45,0.00,1,11,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,11,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,23,p,1,4,0.00,1,12,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,1,q,1,63,0.00,1,12,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,7,p,1,38,0.00,1,12,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,6,p,1,70,0.00,1,12,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,12,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,11,q,0,34,0.00,1,13,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,19,p,0,27,0.00,1,13,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,19,p,0,84,0.00,1,13,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,2,p,1,70,0.00,1,13,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,13,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,16,p,1,45,0.00,1,14,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,22,q,0,20,0.00,1,14,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,1,q,1,29,0.00,1,14,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,22,q,0,50,0.00,1,14,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,14,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,17,q,0,8,0.00,1,15,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,8,p,1,8,0.00,1,15,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,4,p,0,72,0.00,1,15,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,9,q,1,16,0.00,1,15,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,15,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,8,q,0,60,0.00,1,16,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,15,p,1,51,0.00,1,16,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,11,p,0,63,0.00,1,16,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,19,q,1,73,0.00,1,16,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,16,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,20,q,1,17,0.00,1,17,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,4,q,1,80,0.00,1,17,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,15,p,1,83,0.00,1,17,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,11,q,1,30,0.00,1,17,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,17,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,21,q,0,25,0.00,1,18,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,23,q,1,8,0.00,1,18,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,23,p,0,98,0.00,1,18,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,17,p,0,3,0.00,1,18,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,18,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,2,p,1,88,0.00,1,19,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,17,p,1,19,0.00,1,19,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,13,p,1,10,0.00,1,19,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,3,p,1,40,0.00,1,19,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,19,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,9,q,1,84,0.00,1,20,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,5,p,1,91,0.00,1,20,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,25,p,0,93,0.00,1,20,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,7,p,0,97,0.00,1,20,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,20,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,7,p,1,21,0.00,1,21,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,16,q,1,57,0.00,1,21,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,6,q,0,73,0.00,1,21,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,5,p,1,48,0.00,1,21,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,21,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,1,p,1,95,0.00,1,22,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,9,p,1,81,0.00,1,22,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,2,q,1,35,0.00,1,22,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,25,q,0,38,0.00,1,22,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,22,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,18,p,1,40,0.00,1,23,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,11,p,1,3,0.00,1,23,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,18,q,1,79,0.00,1,23,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,14,q,1,8,0.00,1,23,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,23,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,5,p,1,96,0.00,1,24,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,20,q,1,69,0.00,1,24,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,22,q,0,80,0.00,1,24,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,4,q,1,5,0.00,1,24,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,24,o4cfc4sd,20210625_1400,,,,0
1,giaw6638,,0,59,59,endpage,EarningsPage,2021-06-25 12:59:44.372507+00:00,1,,,17.00,1,10,q,0,13,0.00,1,25,o4cfc4sd,20210625_1400,,,,0
2,ty10jr1q,,0,59,59,endpage,EarningsPage,2021-06-25 13:02:03.866151+00:00,1,,,7.00,2,25,q,0,26,0.00,1,25,o4cfc4sd,20210625_1400,,,,0
3,yrmtcn62,,0,59,59,endpage,EarningsPage,2021-06-25 13:07:30.993543+00:00,1,,,16.00,3,10,q,0,16,0.00,1,25,o4cfc4sd,20210625_1400,,,,0
4,duxn23dk,,0,59,59,endpage,EarningsPage,2021-06-25 13:09:10.696985+00:00,1,,,5.00,4,10,p,0,88,0.00,1,25,o4cfc4sd,20210625_1400,,,,0
5,jry264g2,,0,14,59,decisions,DecisionPage,2021-06-25 13:26:00.922890+00:00,1,,,0.00,5,,,,,0.00,1,25,o4cfc4sd,20210625_1400,,,,0
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,1,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,2,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,3,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,4,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,5,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,6,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,7,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,8,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,9,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,10,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,11,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,12,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,13,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,14,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,15,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,16,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,17,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,18,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,19,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,20,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,21,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,22,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,23,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,24,kfe5uwoo,,,,,1
1,r2gsji4n,,0,0,61,,,,0,,,0.00,1,,,,,0.00,1,25,kfe5uwoo,,,,,1
1,mh9jvilu,,0,61,61,endpage,EarningsPage,2021-06-28 08:51:58.930374+00:00,1,,,7.00,1,25,q,1,73,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
2,kp0napa4,,0,61,61,endpage,EarningsPage,2021-06-28 08:55:35.407026+00:00,1,,,6.00,2,2,q,0,99,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
3,a3an30lg,,0,61,61,endpage,EarningsPage,2021-06-28 08:56:34.566103+00:00,1,,,6.00,3,17,q,1,76,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
4,zw36ul8j,,0,61,61,endpage,EarningsPage,2021-06-28 08:59:14.025473+00:00,1,,,27.00,4,16,q,0,7,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
5,qfx1xiey,,0,61,61,endpage,EarningsPage,2021-06-28 09:00:12.080168+00:00,1,,,26.00,5,14,q,1,79,0.00,1,1,f3j5v0lq,20210628_1000,,,,0
