session_id,participant_id,gender,age,countryborn,countrynow,department,degree,timeuea
5sgm29h0,rzzn1i8f,F,21,India,United Kingdom,MED,BSc,3rd
5sgm29h0,00g32yc1,M,23,United Kingdom,United Kingdom,ECO,MA/MSc,5th+
5sgm29h0,6u6fnn44,M,22,Norway,United Kingdom,,,
5sgm29h0,qnd60n7v,F,21,United Kingdom,United Kingdom,ENV,BSc,3rd
5sgm29h0,n0cakvnn,F,22,Lithuania,Lithuania,ECO,BSc,3rd
5sgm29h0,eay5gfc3,F,21,United Kingdom,United Kingdom,BIO,BSc,2nd
5sgm29h0,wtxzvb4e,F,21,United Kingdom,United Kingdom,PHA,MA/MSc,4th
5sgm29h0,ua20fd02,F,21,India,India,MED,BSc,3rd
5sgm29h0,fqh1ix42,M,20,United Kingdom,United Kingdom,CHE,BSc,2nd
2i4yqpqz,j7dkgory,,21,United Kingdom,United Kingdom,ECO,BSc,3rd
2i4yqpqz,i5jvwq5q,F,21,Spain,United Kingdom,LAW,BSc,3rd
2i4yqpqz,5r9gjqy4,F,19,Portugal,United Kingdom,ECO,BSc,1st
2i4yqpqz,e7ap89iz,F,20,Cyprus,Cyprus,SCI,BSc,2nd
2i4yqpqz,7femyonk,M,20,United Kingdom,United Kingdom,PPL,BSc,2nd
2i4yqpqz,co1khwiy,F,21,Nigeria,United Kingdom,ECO,BSc,3rd
2i4yqpqz,su7mxpj7,F,20,United Kingdom,United Kingdom,AMA,BSc,2nd
ae5sejdy,adz16f2y,F,21,United Kingdom,United Kingdom,NBS,BSc,3rd
ae5sejdy,haf3qpec,M,22,Cyprus,Cyprus,LAW,BSc,3rd
ae5sejdy,tg70dmp8,F,25,United Kingdom,United Kingdom,DEV,MA/MSc,1st
ae5sejdy,3d9mvdzz,F,55,United Kingdom,United Kingdom,PPL,BSc,2nd
ae5sejdy,ot5na0b9,F,25,China,China,,,4th
ae5sejdy,zxg75c8y,F,24,United Kingdom,United Kingdom,ECO,BSc,5th+
ae5sejdy,xieg68g9,F,20,United Kingdom,United Kingdom,HSC,BSc,3rd
7xyft6s3,b0370bjl,M,24,Malaysia,Malaysia,,Staff,5th+
7xyft6s3,sjgtn9qk,M,21,Taiwan,Taiwan,CMP,BSc,4th
7xyft6s3,fxky1ye6,F,32,United Kingdom,United Kingdom,IIH,MA/MSc,2nd
7xyft6s3,hokl19im,F,29,United Kingdom,United Kingdom,BIO,PhD,5th+
7xyft6s3,aqcsvorl,M,20,United Kingdom,United Kingdom,ECO,BSc,3rd
7xyft6s3,zi6i2c9u,M,21,Vietnam,United Kingdom,MED,BSc,3rd
42rnw7sc,n594ys0i,F,22,Latvia,Latvia,NBS,MA/MSc,4th
42rnw7sc,hby5m5ik,M,22,United Kingdom,United Kingdom,CMP,BSc,
42rnw7sc,45o6pk7j,F,29,France,United Kingdom,DEV,PhD,4th
42rnw7sc,wu86use2,F,19,Philippines,United Kingdom,NBS,BSc,2nd
rmae59mj,gg29ns20,F,20,Spain,United Kingdom,NBS,BSc,2nd
rmae59mj,2mlym5h3,F,20,United States,United Kingdom,PPL,BSc,2nd
rmae59mj,a0g4ni40,M,21,United Kingdom,United Kingdom,LAW,BSc,3rd
rmae59mj,tpa9df6u,F,21,Hong Kong,United Kingdom,NBS,BSc,3rd
z4srslpi,uel5pire,M,20,Portugal,United Kingdom,ECO,BSc,2nd
z4srslpi,aiy9pkbx,M,20,United Kingdom,United Kingdom,,Other,4th
z4srslpi,td1cwjdp,M,25,South Africa,South Africa,HSC,BSc,3rd
z4srslpi,xt7meys4,F,23,Norway,Norway,NBS,BSc,3rd
z4srslpi,d3v22y45,F,22,Lithuania,United Kingdom,HIS,BSc,3rd
z4srslpi,0uviu3c8,F,22,United Kingdom,United Kingdom,DEV,BSc,3rd
z4srslpi,2nb9zfb7,F,21,United Kingdom,United Kingdom,ECO,BSc,
z4srslpi,q0ffsac5,F,25,Latvia,Latvia,,Other,3rd
z4srslpi,9a30ip35,M,21,Hong Kong,Hong Kong,HSC,BSc,2nd
z4srslpi,6vlteoij,F,24,Hong Kong,United Kingdom,,,
z4srslpi,lfrzjoj3,F,21,United Kingdom,United Kingdom,PHY,BSc,3rd
z4srslpi,21otsptc,F,26,Nepal,Nepal,DEV,MA/MSc,
r7c0b51g,w884g810,F,23,China,China,,,
r7c0b51g,zmaoyq1i,F,21,,United Kingdom,NBS,BSc,2nd
r7c0b51g,8t5zwjgh,F,20,United Kingdom,United Kingdom,HSC,BSc,2nd
r7c0b51g,ocezwog3,M,22,United Kingdom,United Kingdom,ECO,BSc,3rd
r7c0b51g,gad5ovep,F,21,Lithuania,United Kingdom,BIO,BSc,3rd
r7c0b51g,kbtjqe2e,F,21,Malaysia,United Kingdom,HSC,BSc,1st
r7c0b51g,gq9fzq9w,M,21,Denmark,United Kingdom,ENV,BSc,3rd
r7c0b51g,ot30actm,M,19,United Kingdom,United Kingdom,NBS,BSc,2nd
r7c0b51g,6kwe5o6c,F,51,United Kingdom,United Kingdom,HIS,BSc,1st
r7c0b51g,atma1qcx,M,51,United Kingdom,United Kingdom,NBS,MA/MSc,5th+
2c3ue4nl,9bcof7wo,M,25,United Kingdom,United Kingdom,ENV,BSc,2nd
2c3ue4nl,o11c7at5,F,20,United Kingdom,United Kingdom,LDC,BSc,2nd
2c3ue4nl,ckkobwom,M,21,United Kingdom,United Kingdom,ECO,BSc,3rd
2c3ue4nl,mbc73hwl,M,24,Jamaica,United Kingdom,CMP,BSc,5th+
cvmst39e,p6guj6oc,M,22,United Kingdom,United Kingdom,PHA,MA/MSc,4th
cvmst39e,c463oa0l,F,21,Kenya,United Kingdom,PSY,BSc,3rd
cvmst39e,yvv61syj,M,25,Vietnam,United Kingdom,NBS,MA/MSc,2nd
cvmst39e,xjl7tb8y,F,19,United Kingdom,United Kingdom,ENV,BSc,1st
cvmst39e,rzx15z0z,F,19,United Kingdom,United Kingdom,SWK,BSc,1st
q9eskw4s,xnn4ylqp,M,24,Vietnam,Vietnam,PHA,MA/MSc,5th+
q9eskw4s,thvb1r44,F,20,United Kingdom,United Kingdom,ECO,BSc,2nd
q9eskw4s,lwxingsi,F,21,United Kingdom,United Kingdom,AMA,BSc,2nd
6ly2rp8w,fbkvcwj3,M,21,United Kingdom,United Kingdom,ENV,BSc,3rd
6ly2rp8w,0ozxf8xh,M,20,United Kingdom,United Kingdom,NBS,BSc,2nd
1qzq4xiq,djg59bu2,M,21,Brazil,United Kingdom,,,3rd
1qzq4xiq,d84vlama,M,19,United Kingdom,United Kingdom,ECO,BSc,1st
1qzq4xiq,70uhesln,M,19,United Kingdom,United Kingdom,HSC,BSc,2nd
1qzq4xiq,34gfep4y,M,20,United Kingdom,United Kingdom,,,3rd
1qzq4xiq,ir9i1zyd,M,20,United Kingdom,United Kingdom,,,3rd
1qzq4xiq,nq3h20qw,F,20,China,United Kingdom,PPL,BSc,1st
1qzq4xiq,bxvbfy2c,F,19,Hong Kong,United Kingdom,LAW,BSc,1st
1qzq4xiq,cw8zvr2h,M,20,United Kingdom,United Kingdom,LAW,BSc,3rd
1qzq4xiq,9xmkmjqn,F,20,Portugal,United Kingdom,ECO,BSc,3rd
1qzq4xiq,lw7kgktf,F,27,India,India,DEV,MA/MSc,1st
oibs1oda,nxnxskin,F,23,Mexico,Switzerland,PPL,BSc,1st
oibs1oda,7pz0apon,F,22,Cyprus,Cyprus,ENV,BSc,4th
oibs1oda,u9cxpv1u,M,27,United Kingdom,United Kingdom,ENG,BSc,1st
oibs1oda,6xqxdjpw,M,23,United Kingdom,United Kingdom,DEV,MA/MSc,1st
oibs1oda,7c94vcx4,M,21,Italy,United Kingdom,CMP,BSc,1st
oibs1oda,jdkamnqz,F,23,United Kingdom,United Kingdom,LDC,BSc,1st
oibs1oda,5brc09bu,M,18,United Kingdom,United Kingdom,NBS,BSc,1st
oibs1oda,kxpab5sc,O,22,United Kingdom,United Kingdom,PPL,MA/MSc,4th
oibs1oda,ll506yx4,F,18,United Kingdom,United Kingdom,EDU,BSc,1st
dz3iqovg,gk9p37a4,F,19,United Kingdom,United Kingdom,LDC,BSc,2nd
dz3iqovg,gjh1vvi8,M,19,Sri Lanka,United Kingdom,MED,BSc,2nd
dz3iqovg,ve26kidg,F,19,Jordan,United Kingdom,LAW,BSc,2nd
dz3iqovg,cdmhvur3,M,30,China,United Kingdom,EDU,PhD,5th+
dz3iqovg,k4kry1g9,F,20,United Kingdom,United Kingdom,ECO,BSc,3rd
dz3iqovg,7y1cg1m5,M,21,Bangladesh,United Kingdom,BIO,BSc,3rd
dz3iqovg,zdv0ikxt,M,21,India,United Kingdom,ECO,BSc,3rd
dz3iqovg,461a2pcv,F,27,United Kingdom,United Kingdom,,Other,5th+
dz3iqovg,znmoz035,F,23,Hong Kong,United Kingdom,MED,BSc,1st
dz3iqovg,ylkga1n5,F,19,United Kingdom,United Kingdom,MED,BSc,2nd
dz3iqovg,yv1cj331,F,18,United Kingdom,United Kingdom,HSC,BSc,1st
dz3iqovg,89i99jlp,F,20,United Kingdom,United Kingdom,HSC,BSc,1st
ios2zg8e,k5qjtrxf,M,18,India,United Kingdom,NBS,BSc,1st
ios2zg8e,kki23sm3,F,20,United Kingdom,United Kingdom,PSY,BSc,2nd
ios2zg8e,ivlmusw9,M,20,United Kingdom,United Kingdom,NBS,BSc,3rd
ios2zg8e,bqqi8g8i,M,19,South Africa,United Kingdom,ECO,BSc,1st
ios2zg8e,uqucl6cz,F,18,Portugal,United Kingdom,NBS,BSc,1st
ios2zg8e,dq31a15z,F,18,Sri Lanka,United Kingdom,MED,BSc,1st
ios2zg8e,xvaeh4uu,F,18,Hong Kong,United Kingdom,HSC,BSc,1st
ios2zg8e,2z3t80j3,F,18,United Kingdom,United Kingdom,EDU,BSc,1st
ios2zg8e,2f3nbwhw,M,18,United Kingdom,United Kingdom,HIS,BSc,1st
ios2zg8e,uve3xn10,F,20,Malaysia,United Kingdom,NBS,BSc,2nd
ios2zg8e,akkimxbz,M,18,Hungary,United Kingdom,BIO,BSc,1st
ios2zg8e,xleira1s,F,20,United Kingdom,United Kingdom,NBS,BSc,2nd
sx6fgj9f,lualaqid,F,20,United Kingdom,United Kingdom,MED,BSc,3rd
sx6fgj9f,icuf6r3i,M,19,United Kingdom,United Kingdom,ECO,BSc,1st
sx6fgj9f,6q4v8zwn,F,22,United Kingdom,United Kingdom,PPL,BSc,2nd
sx6fgj9f,91o7t87s,M,20,United Kingdom,United Kingdom,ENV,BSc,3rd
sx6fgj9f,tw6ofzo6,F,20,Spain,Spain,BIO,BSc,1st
sx6fgj9f,rz20kdvj,F,19,United Kingdom,United Kingdom,LAW,BSc,2nd
sx6fgj9f,gz2c6vox,F,23,United Kingdom,United Kingdom,MED,BSc,2nd
baxe0zuf,fkt0idrw,F,18,United Kingdom,United Kingdom,PSY,BSc,1st
baxe0zuf,4nfjsw26,F,21,Cyprus,United Kingdom,MED,BSc,3rd
baxe0zuf,8146ibpz,F,21,United Kingdom,United Kingdom,LDC,BSc,4th
baxe0zuf,oa9qe2uy,F,19,United States,Egypt,PPL,BSc,2nd
baxe0zuf,al37f6iv,F,19,United Kingdom,United Kingdom,,Other,1st
baxe0zuf,x27fok07,M,19,United Kingdom,United Kingdom,NBS,BSc,2nd
baxe0zuf,sh2jndtq,F,18,United Kingdom,United Kingdom,MED,BSc,1st
baxe0zuf,mx2jjjo0,F,24,Hong Kong,United Kingdom,MED,BSc,1st
baxe0zuf,r58np4zf,F,18,United Kingdom,United Kingdom,BIO,BSc,1st
baxe0zuf,suj4f23a,F,20,United Kingdom,United Kingdom,NAT,BSc,2nd
ckjh5tb4,igi0kjnb,F,19,United Kingdom,United Kingdom,BIO,MA/MSc,2nd
ckjh5tb4,1cnerogk,,20,Spain,United Kingdom,PSY,INTO,1st
ckjh5tb4,5qhyejyx,F,18,Nigeria,Nigeria,ECO,BSc,3rd
ckjh5tb4,8fkffj19,F,18,United Kingdom,United Kingdom,,BSc,1st
ckjh5tb4,8mcbmy3x,M,19,United Kingdom,United Kingdom,MTH,BSc,2nd
ckjh5tb4,cv7fojrc,M,23,United Kingdom,United Kingdom,CMP,BSc,1st
ckjh5tb4,ce3ju9sq,M,21,United Kingdom,United Kingdom,ENV,BSc,3rd
ckjh5tb4,vacatglc,M,21,Latvia,Latvia,LDC,BSc,3rd
es8prm7x,41xn2qh9,O,18,United Kingdom,United Kingdom,CMP,BSc,1st
es8prm7x,oh2n10bg,M,19,United Kingdom,United Kingdom,PPL,BSc,2nd
es8prm7x,q11ysnzk,F,19,United Kingdom,United Kingdom,NBS,BSc,2nd
es8prm7x,a6oaeycq,F,19,United Kingdom,United Kingdom,LDC,BSc,2nd
es8prm7x,vt0oite2,M,18,United Kingdom,United Kingdom,ECO,BSc,1st
es8prm7x,ohbqkpz4,F,21,Denmark,United Kingdom,NMS,BSc,3rd
es8prm7x,wpfto96w,F,18,United Kingdom,United Kingdom,PSY,BSc,1st
es8prm7x,rjm9etlc,F,18,United Kingdom,United Kingdom,ECO,BSc,1st
rdbejwb9,4z0umzd2,F,21,Spain,United Kingdom,ECO,BSc,1st
rdbejwb9,towss002,M,22,United Kingdom,United Kingdom,CMP,BSc,4th
rdbejwb9,w7wkpai0,F,22,United Kingdom,United Kingdom,PPL,BSc,4th
rdbejwb9,xi8u6zr6,F,20,United Kingdom,United Kingdom,MED,BSc,3rd
rdbejwb9,sjnia5kz,F,21,United Kingdom,United Kingdom,DEV,BSc,2nd
rdbejwb9,e1u5e0p2,M,20,United Kingdom,United Kingdom,ECO,BSc,3rd
rdbejwb9,3teu8bii,F,20,United Kingdom,United Kingdom,PSY,BSc,2nd
rdbejwb9,uvptgp2n,F,18,United Kingdom,United Kingdom,CMP,BSc,1st
rdbejwb9,oukkjmup,F,24,Norway,United Kingdom,NAT,BSc,2nd
