session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
sx6fgj9f,5,tw6ofzo6,13,instructions,GeneralComprehension2,1633944417,1,0,0
sx6fgj9f,8,86v1yyo4,12,instructions,GeneralComprehension1,1633944439,1,1,0
sx6fgj9f,9,l7ug7tze,12,instructions,GeneralComprehension1,1633944439,1,1,0
sx6fgj9f,10,s2ooxzx9,12,instructions,GeneralComprehension1,1633944439,1,1,0
sx6fgj9f,11,26jj6z5e,12,instructions,GeneralComprehension1,1633944439,1,1,0
sx6fgj9f,12,w1t9pfzc,12,instructions,GeneralComprehension1,1633944439,1,1,0
sx6fgj9f,8,86v1yyo4,13,instructions,GeneralComprehension2,1633944448,1,1,0
sx6fgj9f,9,l7ug7tze,13,instructions,GeneralComprehension2,1633944448,1,1,0
sx6fgj9f,10,s2ooxzx9,13,instructions,GeneralComprehension2,1633944448,1,1,0
sx6fgj9f,11,26jj6z5e,13,instructions,GeneralComprehension2,1633944449,1,1,0
sx6fgj9f,12,w1t9pfzc,13,instructions,GeneralComprehension2,1633944449,1,1,0
sx6fgj9f,1,lualaqid,14,instructions,AfterQuestions,1633944457,1,1,0
sx6fgj9f,2,icuf6r3i,14,instructions,AfterQuestions,1633944457,1,1,0
sx6fgj9f,3,6q4v8zwn,14,instructions,AfterQuestions,1633944457,1,1,0
sx6fgj9f,4,91o7t87s,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,5,tw6ofzo6,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,6,rz20kdvj,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,7,gz2c6vox,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,8,86v1yyo4,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,9,l7ug7tze,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,10,s2ooxzx9,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,11,26jj6z5e,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,12,w1t9pfzc,14,instructions,AfterQuestions,1633944458,1,1,0
sx6fgj9f,1,lualaqid,15,instructions,Summary,1633944545,1,1,0
sx6fgj9f,2,icuf6r3i,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,3,6q4v8zwn,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,4,91o7t87s,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,5,tw6ofzo6,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,6,rz20kdvj,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,7,gz2c6vox,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,8,86v1yyo4,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,9,l7ug7tze,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,10,s2ooxzx9,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,11,26jj6z5e,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,12,w1t9pfzc,15,instructions,Summary,1633944546,1,1,0
sx6fgj9f,7,gz2c6vox,16,decisions,DecisionPage,1633944557,1,0,0
sx6fgj9f,3,6q4v8zwn,16,decisions,DecisionPage,1633944558,1,0,0
sx6fgj9f,4,91o7t87s,16,decisions,DecisionPage,1633944561,1,0,0
sx6fgj9f,7,gz2c6vox,17,decisions,DecisionPage,1633944562,2,0,0
sx6fgj9f,5,tw6ofzo6,16,decisions,DecisionPage,1633944562,1,0,0
sx6fgj9f,6,rz20kdvj,16,decisions,DecisionPage,1633944565,1,0,0
sx6fgj9f,7,gz2c6vox,18,decisions,DecisionPage,1633944571,3,0,0
sx6fgj9f,4,91o7t87s,17,decisions,DecisionPage,1633944573,2,0,0
sx6fgj9f,2,icuf6r3i,16,decisions,DecisionPage,1633944573,1,0,0
sx6fgj9f,6,rz20kdvj,17,decisions,DecisionPage,1633944574,2,0,0
sx6fgj9f,7,gz2c6vox,19,decisions,DecisionPage,1633944575,4,0,0
sx6fgj9f,5,tw6ofzo6,17,decisions,DecisionPage,1633944576,2,0,0
sx6fgj9f,4,91o7t87s,18,decisions,DecisionPage,1633944579,3,0,0
sx6fgj9f,3,6q4v8zwn,17,decisions,DecisionPage,1633944580,2,0,0
sx6fgj9f,2,icuf6r3i,17,decisions,DecisionPage,1633944581,2,0,0
sx6fgj9f,4,91o7t87s,19,decisions,DecisionPage,1633944585,4,0,0
sx6fgj9f,6,rz20kdvj,18,decisions,DecisionPage,1633944585,3,0,0
sx6fgj9f,7,gz2c6vox,20,decisions,DecisionPage,1633944586,5,0,0
sx6fgj9f,4,91o7t87s,20,decisions,DecisionPage,1633944588,5,0,0
sx6fgj9f,5,tw6ofzo6,18,decisions,DecisionPage,1633944589,3,0,0
sx6fgj9f,2,icuf6r3i,18,decisions,DecisionPage,1633944590,3,0,0
sx6fgj9f,7,gz2c6vox,21,decisions,DecisionPage,1633944591,6,0,0
sx6fgj9f,1,lualaqid,16,decisions,DecisionPage,1633944592,1,0,0
sx6fgj9f,4,91o7t87s,21,decisions,DecisionPage,1633944593,6,0,0
sx6fgj9f,7,gz2c6vox,22,decisions,DecisionPage,1633944594,7,0,0
sx6fgj9f,4,91o7t87s,22,decisions,DecisionPage,1633944597,7,0,0
sx6fgj9f,5,tw6ofzo6,19,decisions,DecisionPage,1633944597,4,0,0
sx6fgj9f,3,6q4v8zwn,18,decisions,DecisionPage,1633944598,3,0,0
sx6fgj9f,6,rz20kdvj,19,decisions,DecisionPage,1633944599,4,0,0
sx6fgj9f,4,91o7t87s,23,decisions,DecisionPage,1633944601,8,0,0
sx6fgj9f,7,gz2c6vox,23,decisions,DecisionPage,1633944601,8,0,0
sx6fgj9f,7,gz2c6vox,24,decisions,DecisionPage,1633944606,9,0,0
sx6fgj9f,3,6q4v8zwn,19,decisions,DecisionPage,1633944607,4,0,0
sx6fgj9f,6,rz20kdvj,20,decisions,DecisionPage,1633944609,5,0,0
sx6fgj9f,4,91o7t87s,24,decisions,DecisionPage,1633944610,9,0,0
sx6fgj9f,3,6q4v8zwn,20,decisions,DecisionPage,1633944611,5,0,0
sx6fgj9f,7,gz2c6vox,25,decisions,DecisionPage,1633944612,10,0,0
sx6fgj9f,5,tw6ofzo6,20,decisions,DecisionPage,1633944612,5,0,0
sx6fgj9f,4,91o7t87s,25,decisions,DecisionPage,1633944613,10,0,0
sx6fgj9f,1,lualaqid,17,decisions,DecisionPage,1633944614,2,0,0
sx6fgj9f,2,icuf6r3i,19,decisions,DecisionPage,1633944614,4,0,0
sx6fgj9f,7,gz2c6vox,26,decisions,DecisionPage,1633944616,11,0,0
sx6fgj9f,4,91o7t87s,26,decisions,DecisionPage,1633944616,11,0,0
sx6fgj9f,3,6q4v8zwn,21,decisions,DecisionPage,1633944617,6,0,0
sx6fgj9f,4,91o7t87s,27,decisions,DecisionPage,1633944620,12,0,0
sx6fgj9f,5,tw6ofzo6,21,decisions,DecisionPage,1633944620,6,0,0
sx6fgj9f,2,icuf6r3i,20,decisions,DecisionPage,1633944621,5,0,0
sx6fgj9f,7,gz2c6vox,27,decisions,DecisionPage,1633944622,12,0,0
sx6fgj9f,4,91o7t87s,28,decisions,DecisionPage,1633944623,13,0,0
sx6fgj9f,3,6q4v8zwn,22,decisions,DecisionPage,1633944624,7,0,0
sx6fgj9f,4,91o7t87s,29,decisions,DecisionPage,1633944626,14,0,0
sx6fgj9f,7,gz2c6vox,28,decisions,DecisionPage,1633944630,13,0,0
sx6fgj9f,5,tw6ofzo6,22,decisions,DecisionPage,1633944631,7,0,0
sx6fgj9f,6,rz20kdvj,21,decisions,DecisionPage,1633944631,6,0,0
sx6fgj9f,3,6q4v8zwn,23,decisions,DecisionPage,1633944633,8,0,0
sx6fgj9f,4,91o7t87s,30,decisions,DecisionPage,1633944635,15,0,0
sx6fgj9f,6,rz20kdvj,22,decisions,DecisionPage,1633944636,7,0,0
sx6fgj9f,4,91o7t87s,31,decisions,DecisionPage,1633944638,16,0,0
sx6fgj9f,7,gz2c6vox,29,decisions,DecisionPage,1633944639,14,0,0
sx6fgj9f,2,icuf6r3i,21,decisions,DecisionPage,1633944639,6,0,0
sx6fgj9f,3,6q4v8zwn,24,decisions,DecisionPage,1633944640,9,0,0
sx6fgj9f,7,gz2c6vox,30,decisions,DecisionPage,1633944644,15,0,0
sx6fgj9f,6,rz20kdvj,23,decisions,DecisionPage,1633944644,8,0,0
sx6fgj9f,4,91o7t87s,32,decisions,DecisionPage,1633944644,17,0,0
sx6fgj9f,2,icuf6r3i,22,decisions,DecisionPage,1633944646,7,0,0
sx6fgj9f,7,gz2c6vox,31,decisions,DecisionPage,1633944648,16,0,0
sx6fgj9f,5,tw6ofzo6,23,decisions,DecisionPage,1633944648,8,0,0
sx6fgj9f,4,91o7t87s,33,decisions,DecisionPage,1633944648,18,0,0
sx6fgj9f,6,rz20kdvj,24,decisions,DecisionPage,1633944652,9,0,0
sx6fgj9f,3,6q4v8zwn,25,decisions,DecisionPage,1633944653,10,0,0
sx6fgj9f,7,gz2c6vox,32,decisions,DecisionPage,1633944655,17,0,0
sx6fgj9f,5,tw6ofzo6,24,decisions,DecisionPage,1633944656,9,0,0
sx6fgj9f,2,icuf6r3i,23,decisions,DecisionPage,1633944657,8,0,0
sx6fgj9f,4,91o7t87s,34,decisions,DecisionPage,1633944659,19,0,0
sx6fgj9f,6,rz20kdvj,25,decisions,DecisionPage,1633944662,10,0,0
sx6fgj9f,3,6q4v8zwn,26,decisions,DecisionPage,1633944663,11,0,0
sx6fgj9f,4,91o7t87s,35,decisions,DecisionPage,1633944663,20,0,0
sx6fgj9f,7,gz2c6vox,33,decisions,DecisionPage,1633944666,18,0,0
sx6fgj9f,2,icuf6r3i,24,decisions,DecisionPage,1633944666,9,0,0
sx6fgj9f,5,tw6ofzo6,25,decisions,DecisionPage,1633944668,10,0,0
sx6fgj9f,7,gz2c6vox,34,decisions,DecisionPage,1633944669,19,0,0
sx6fgj9f,3,6q4v8zwn,27,decisions,DecisionPage,1633944671,12,0,0
sx6fgj9f,4,91o7t87s,36,decisions,DecisionPage,1633944671,21,0,0
sx6fgj9f,7,gz2c6vox,35,decisions,DecisionPage,1633944673,20,0,0
sx6fgj9f,3,6q4v8zwn,28,decisions,DecisionPage,1633944676,13,0,0
sx6fgj9f,4,91o7t87s,37,decisions,DecisionPage,1633944676,22,0,0
sx6fgj9f,1,lualaqid,18,decisions,DecisionPage,1633944677,3,0,0
sx6fgj9f,7,gz2c6vox,36,decisions,DecisionPage,1633944678,21,0,0
sx6fgj9f,6,rz20kdvj,26,decisions,DecisionPage,1633944681,11,0,0
sx6fgj9f,4,91o7t87s,38,decisions,DecisionPage,1633944682,23,0,0
sx6fgj9f,5,tw6ofzo6,26,decisions,DecisionPage,1633944683,11,0,0
sx6fgj9f,6,rz20kdvj,27,decisions,DecisionPage,1633944687,12,0,0
